,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron,m_electron
18,367,-456.265724350804,0.9461877166637772,1.1459382371765774,0.2293304201599176,0.13978801593507745,2.0280044818598975
19,374,-436.10572435080394,0.9105208790428465,1.1086976649989615,0.2189514804019909,0.13922020240910934,2.001413371222168
20,381,-415.9457243508041,0.9540686795752095,1.2804660350899544,0.21618417502273637,0.14185479863453687,2.0017767894186336
21,388,-395.785724350804,0.9296236961092172,0.8594299251759078,0.23628935391323191,0.13531524391614255,2.0000003623707285
22,395,-375.6257243508039,0.8628664350734487,1.1163755201651127,0.23647599496177477,0.14006782186882774,2.0000121375106437
23,402,-355.46572435080407,0.758390429200508,1.2756277457237928,0.24583103859561048,0.14061431480931483,2.000012118389137
24,409,-335.305724350804,0.9342714070670419,1.014355239337549,0.21486252355501517,0.1490924160860793,2.027810423526825
25,416,-315.1457243508039,0.9198019589754081,1.2829816687535867,0.21623517163655911,0.14944916005894257,2.001412651376087
26,423,-294.98572435080405,0.8680821163971044,1.3368547964642024,0.22777189530348727,0.14940691387551802,2.001775795123331
27,430,-274.82572435080397,0.8505054888120714,1.287764362955565,0.23651922663594607,0.1488688057644519,2.000000362370717
28,437,-254.66572435080388,0.7456144725665986,1.2403509837326887,0.23168038902084112,0.14749459202221085,2.0000121374968733
29,444,-234.50572435080403,0.8916884208604876,0.8332564566538071,0.21703602565343635,0.15120971479513612,2.0000121183793804
30,451,-214.34572435080395,0.9102009637667867,1.032148568732426,0.23503953321806112,0.15051399036225308,2.0275947513454855
31,458,-194.1857243508041,0.9459980204985903,1.184578641451036,0.21764825728930054,0.15779378040589156,2.0014124588879034
32,465,-174.025724350804,0.893318378416675,0.975928091525386,0.22998626676520398,0.15434163173142149,2.0017752880251205
33,472,-153.86572435080393,0.8512201791162636,1.0709687538663895,0.24757906459006632,0.1472120224703454,2.000000362370713
34,479,-133.70572435080408,0.8385288326994479,1.2304730507762414,0.22921100080579102,0.1534235722238405,2.000012137446231
35,486,-113.545724350804,0.8117226191460639,1.0614902426503625,0.2326221920742606,0.15126330710861677,2.0000121183518917
36,492,-96.26572435080402,0.8199412821389044,1.3160174508755367,0.24652984364688224,0.15165504782698436,2.0274860049658345
37,499,-76.10572435080394,0.8931718891090449,1.1364546260731867,0.22228828999693892,0.1579342570672923,2.0014116077919826
38,506,-55.945724350804085,0.9051481003258975,0.9945587134919864,0.2250027447474518,0.15715922417246628,2.0017743625102304
39,513,-35.785724350804,0.7903856011906923,1.2161417264354761,0.24200177972408252,0.15291661478294266,2.000000362370644
40,520,-15.625724350803921,0.8811259628856665,1.053624052645497,0.2587026241838002,0.1459558240291474,2.000012137428348
41,527,4.5342756491959335,0.9001819200115211,0.9866113207947319,0.24101057726599687,0.15283967875801652,2.0000121183252184
42,534,24.694275649196015,0.8505742949246605,1.276532748363096,0.24467027560145135,0.14723947830929038,2.0273928877269407
43,541,44.8542756491961,0.7487433069604943,1.3371688308113447,0.23260948002125809,0.15509180268886574,2.0014110860285403
